시장,업종구분,종목명,종목코드,시가총액,유통비율,업종코드
Q,제약,이엔셀,456070,1384 ,60,120
Q,화학,이엔에프테크놀로지,102710,4422 ,64,119
Q,의료/정밀기기,이엘씨,041520,1042 ,49,125
Q,의료/정밀기기,이엘피,063760,211 ,68,125
Q,일반서비스,이엠넷,123570,527 ,55,103
Q,화학,이엠앤아이,083470,165 ,72,119
Q,금속,이엠코리아,095190,1498 ,57,122
Q,전기/전자,이엠텍,091120,1830 ,78,124
Q,기계/장비,이오테크닉스,039030,17913 ,67,123
Q,의료/정밀기기,이오플로우,294090,523 ,91,125
Q,운송장비/부품,이원컴포텍,088290,441 ,69,126
Q,음식료/담배,이지바이오,353810,1681 ,48,115
Q,IT 서비스,이지케어텍,099750,1257 ,58,129
Q,전기/전자,이지트로닉스,377330,389 ,51,124
Q,음식료/담배,이지홀딩스,035810,2645 ,48,115
Q,IT 서비스,이크레더블,092130,1941 ,32,129
Q,유통,이트론,096040,2456 ,70,108
Q,오락/문화,이퓨쳐,134060,220 ,50,141
Q,건설,이화공영,001840,360 ,52,107
Q,전기/전자,이화전기,024810,1968 ,74,124
Q,의료/정밀기기,인바디,041830,3404 ,61,125
Q,화학,인바이오,352940,304 ,69,119
Q,기계/장비,인베니아,079950,144 ,65,123
Q,일반서비스,인벤티지랩,389470,4370 ,77,103
Q,음식료/담배,인산가,277410,494 ,72,115
Q,일반서비스,인선이엔티,060150,2715 ,49,103
Q,IT 서비스,인성정보,033230,1094 ,76,129
Q,IT 서비스,인스웨이브,450520,623 ,37,129
Q,IT 서비스,인스피언,465480,689 ,27,129
Q,전기/전자,인지디스플레,037330,600 ,41,124
Q,IT 서비스,인지소프트,100030,553 ,45,129
Q,금융,인카금융서비스,211050,5611 ,49,111
Q,유통,인콘,083640,248 ,65,108
Q,유통,인크레더블버즈,064090,1007 ,85,108
Q,일반서비스,인크로스,216050,1045 ,56,103
Q,전기/전자,인탑스,049070,2816 ,53,124
Q,의료/정밀기기,인터로조,119610,2141 ,55,125
Q,전기/전자,인터엠,017250,219 ,48,124
Q,전기/전자,인터플렉스,051370,1918 ,52,124
Q,기계/장비,인텍플러스,064290,1133 ,79,123
Q,전기/전자,인텔리안테크,189300,5222 ,71,124
Q,일반서비스,인투셀,287840,5190 ,68,103
Q,의료/정밀기기,인트로메딕,150840,2515 ,90,125
Q,제약,인트론바이오,048530,1438 ,76,120
Q,통신,인포바인,115310,1292 ,28,128
Q,IT 서비스,인포뱅크,039290,569 ,57,129
Q,IT 서비스,인피니트헬스케어,071200,1798 ,52,129
Q,운송장비/부품,인화정공,101930,3846 ,46,126
Q,운송장비/부품,일승,333430,1420 ,25,126
Q,기계/장비,일신바이오,068330,732 ,63,123
Q,유통,일월지엠엘,178780,533 ,60,108
Q,운송장비/부품,일지테크,019540,557 ,51,126
Q,건설,일진파워,094820,1782 ,61,107
Q,,잉글우드랩,950140,2348 ,44,101
Q,화학,잉크테크,049550,676 ,58,119
Q,전기/전자,자람테크놀로지,389020,2619 ,42,124
Q,기계/장비,자비스,254120,478 ,70,123
Q,비금속,자연과환경,043910,921 ,91,121
Q,전기/전자,자이글,234920,585 ,30,124
